# ZHAires simulations output (NRT 24/10/2017)
# log10 Energy [eV]   Zenith [deg]   Azimuth [deg]   Xcore [m]   Ycore [m]   Zcore [m]   New_conservative   Nns_conservative   Ntot_conservative   New_aggressive   Nns_aggressive   Ntot_aggressive   max(Vp2p_ew)   max(Vp2p_ns)   max(Vp2p_tot) 
17     65.0     0.0     240.19     422.59     0.0     1     0     1     3     0     2     212.21548     31.92903     184.231721 
17     75.0     0.0     306.47     44.3     0.0     4     0     4     7     0     7     313.7311     14.059818     306.3734996 
17     85.0     0.0     456.72     158.07     0.0     0     0     0     41     0     41     124.30265     0.3442518     124.34961364 
17     65.0     45.0     134.19     314.95     0.0     1     1     0     2     2     1     225.3482     276.1131     72.61527 
17     75.0     45.0     15.47     118.17     0.0     0     0     0     10     10     0     130.42934     143.35241     24.92766 
17     85.0     45.0     95.67     284.88     0.0     0     0     0     22     22     0     74.1218     74.04609     2.26912 
17     65.0     90.0     467.64     58.45     0.0     0     0     0     0     0     0     23.97539     24.27238     48.24777 
17     75.0     90.0     451.34     35.38     0.0     0     0     0     0     0     3     24.25223     37.21115     57.29472 
17     85.0     90.0     394.31     252.09     0.0     0     0     0     0     0     0     1.9857387     6.87637     6.7576579 
17     65.0     135.0     52.71     132.13     0.0     0     1     2     3     3     3     143.98724     153.26188     297.24912 
17     75.0     135.0     139.64     172.56     0.0     0     0     3     6     6     7     129.41471     130.45123     259.86594 
17     85.0     135.0     242.24     35.02     0.0     0     0     0     2     2     43     53.11998     53.11933     106.23931 
17     65.0     180.0     394.45     93.54     0.0     2     0     2     2     0     2     294.2749     42.64577     265.055518 
17     75.0     180.0     56.45     461.36     0.0     7     0     6     11     0     10     252.8799     11.611526     246.778327324 
17     85.0     180.0     387.6     445.33     0.0     0     0     0     55     0     55     120.97184     0.3282969     121.0126357 
17     65.0     225.0     103.44     156.65     0.0     1     0     0     3     2     1     168.89159     125.60121     58.94501 
17     75.0     225.0     109.42     125.43     0.0     3     0     0     10     9     0     154.38789     138.07279     29.73075 
17     85.0     225.0     309.14     173.3     0.0     0     0     0     10     10     0     60.82825     60.93734     2.15971 
17     65.0     270.0     127.04     499.93     0.0     0     0     0     1     2     2     62.32312     95.33324     145.36971 
17     75.0     270.0     57.5     279.44     0.0     0     0     0     0     0     1     22.35379     38.29818     57.57443 
17     85.0     270.0     398.39     5.09     0.0     0     0     0     0     0     0     1.6923249     4.653832     4.7852542 
17     65.0     315.0     50.81     319.39     0.0     2     1     2     2     2     3     338.4997     326.6881     665.1878 
17     75.0     315.0     213.96     263.68     0.0     1     1     6     8     8     13     160.86798     159.84795     320.71593 
17     85.0     315.0     290.04     60.5     0.0     0     0     1     27     27     71     81.13755     81.13734     162.27489 
17.5     65.0     0.0     261.8     100.79     0.0     3     1     3     4     2     4     1655.167     182.87172     1537.60996 
17.5     75.0     0.0     126.16     485.59     0.0     12     0     12     17     0     16     1067.4327     43.97042     1044.4642563 
17.5     85.0     0.0     204.77     447.45     0.0     78     0     78     84     0     84     526.2211     1.4327864     526.4013038 
17.5     65.0     45.0     61.02     111.06     0.0     3     3     1     3     3     3     579.3238     732.0287     171.678 
17.5     75.0     45.0     124.69     127.62     0.0     7     8     0     15     15     3     577.3545     629.4048     96.9722 
17.5     85.0     45.0     30.52     71.29     0.0     13     13     0     57     57     0     202.87648     202.6947     6.04471 
17.5     65.0     90.0     261.82     399.4     0.0     1     2     2     2     2     3     230.4985     332.276     516.42102 
17.5     75.0     90.0     279.74     331.41     0.0     0     0     1     3     5     9     71.61408     128.38677     187.29961 
17.5     85.0     90.0     423.14     271.51     0.0     0     0     0     0     0     0     5.837623     20.079871     19.32803 
17.5     65.0     135.0     209.3     54.85     0.0     2     2     3     3     3     4     444.2398     475.4978     919.7376 
17.5     75.0     135.0     308.12     348.29     0.0     6     6     10     15     15     22     340.2324     342.7872     683.0196 
17.5     85.0     135.0     87.82     237.68     0.0     21     21     61     81     81     104     217.15243     217.14876     434.30119 
17.5     65.0     180.0     157.59     301.14     0.0     2     0     2     4     2     4     1161.7254     148.58528     1060.1242 
17.5     75.0     180.0     182.18     283.48     0.0     12     0     12     16     0     16     809.027     33.57643     794.571782 
17.5     85.0     180.0     310.34     424.15     0.0     58     0     58     84     0     84     460.3033     1.2440962     460.3161952 
17.5     65.0     225.0     222.48     55.3     0.0     2     2     2     5     4     2     653.6852     458.3784     217.2773 
17.5     75.0     225.0     181.19     280.82     0.0     6     6     0     14     14     4     411.4307     370.5524     76.0861 
17.5     85.0     225.0     310.28     352.65     0.0     25     25     0     81     81     0     224.44516     224.23499     7.40841 
17.5     65.0     270.0     60.91     250.02     0.0     1     1     2     2     2     3     216.50013     350.3233     507.61001 
17.5     75.0     270.0     273.66     203.01     0.0     0     0     2     3     6     9     68.38346     114.99904     161.62988 
17.5     85.0     270.0     148.37     389.87     0.0     0     0     0     0     0     0     6.303984     21.513188     20.790759 
17.5     65.0     315.0     16.24     36.13     0.0     3     3     3     3     3     4     566.7407     543.9815     1110.7222 
17.5     75.0     315.0     41.68     11.42     0.0     12     12     14     16     16     18     537.0623     530.3082     1067.3705 
17.5     85.0     315.0     316.19     332.44     0.0     14     14     48     68     68     105     204.63498     204.63623     409.27121 
18     65.0     0.0     204.49     288.95     0.0     6     2     5     8     3     8     4854.781     583.5566     4490.12542 
18     75.0     0.0     88.3     488.68     0.0     18     0     18     26     10     24     3302.401     136.81133     3235.833428 
18     85.0     0.0     62.65     292.31     0.0     84     0     84     113     0     112     1503.1418     4.335155     1503.891398 
18     65.0     45.0     211.66     154.93     0.0     3     3     2     7     8     3     2501.793     3068.125     767.2343 
18     75.0     45.0     237.9     178.01     0.0     16     16     8     20     21     12     1549.2716     1657.6882     294.4462 
18     85.0     45.0     53.58     196.05     0.0     84     84     0     104     104     0     785.2922     785.7458     23.7519 
18     65.0     90.0     361.72     493.04     0.0     2     2     2     5     5     7     420.4129     525.425     945.8379 
18     75.0     90.0     438.01     464.73     0.0     7     8     11     11     12     15     230.9066     363.1718     548.2547 
18     85.0     90.0     388.61     438.04     0.0     0     0     0     0     21     21     20.976064     74.66428     73.049854 
18     65.0     135.0     169.85     254.38     0.0     3     4     4     4     4     6     1820.4172     1946.0113     3766.4285 
18     75.0     135.0     328.15     345.28     0.0     14     14     18     20     20     26     1455.5162     1466.3501     2921.8663 
18     85.0     135.0     210.77     195.32     0.0     84     84     96     105     105     105     811.3828     811.3833     1622.7661 
18     65.0     180.0     309.22     51.69     0.0     4     2     4     5     3     5     3577.476     473.9005     3282.02948 
